model_name,language,proficiency,prompt_id,prompt_style,prompt_topic,run_id,generated_text
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,A1,basic,hobbies,1,"I want people to take a break with their friends. In this week, I will go out together when we are going to visit our country. It is my favourite sport.It starts in June.I like playing soccer,playing football and playing computer games.We have many things to play around us.In addition,we can go swimming or watching TV but we're very tired.The other thing we can play in any kind of public transportation.You can dance music, sing and dance. We can play it on television and watch movies.There is also good news about our country.Also we can play the guitar.So, I'm not sure what happened to me. Thanks. Good bye! Abdulaziz. Hassan Youssef. Hamoud. Sreejith. See you soon. Khaled. Mohammad. Saleh. Aisha. Imamah. Nasser. Bassim. Ahmed. Ahmad. Saeed. Almaat. Faisal. I hope you are all. Dina. Sahar. Mohammed. Khalid. Ranaghad. Abdulazin. Abeer. Khalid"" Bye!! Mohamed."" Abdulazil"""
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,B1,basic,holiday,1,"""Hi, I'm so sorry that I will be in the same place as my friends. My favorite season is spring and winter it's cold and sometimes rainy but i like summer because its hot. It's really exciting and interesting. I wish you can come!"" We are staying there every year. Good bye"" Sahar."" we are waiting you for your invitation."" We are staying in a big city with our friends and I hope we can stay in hotel there. Yousef"" Sahar"" Sahar. Thank you and Nada"" Saad."" Sahar"" Al-Khaled."" I hope we are enjoy from my trip to visit the beach and see the beautiful beach. I'm happy if you go to the museum. Bye"" Sahara"" Abdulrahman"" Saudi Arabia."" Thank you. Ahmed Youssef"" Sahat"" is very nice and fun. I hope you'll enjoy the great weekend. See you soon! Khalid"" Sahar!"" E-mail"" Sahar,"" Sahar"" is very beautiful. Thanks al-Khamed"" Sahar, Sahar"" are beautiful and beautiful. Best wishes for you too. Fahad"" Sahar'a"" is a wonderful place. Thanks ali"" Sahar"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,C1,basic,family,1,"Hi, I am writing to tell that some people are not very thin. This is true of our children. The same thing is with my own father. He has long, straight brown hair. His mother is called. She's tall and slim. They're happy but sometimes they're smaller than me. They are both hard-working and smart. Their brother likes reading books and watching TV. They love eating bananas and fish. They like shopping because they're very happy and funny. They can't play any musical instrument. They can swim in the park but they're so tiring and friendly. They don't like singing music. I hate playing chess because it's too dangerous. Best regards, Abeer. My son : Youssef Aladdin. She's an engineer. He loves swimming and listening. They are very interesting. I hope they come together and see you soon. Nasser. See you soon. Abdulrhman. Ahmad. Khaled. Ahmad. Mohammed. Bassam. Dadah. Ebrahim. Ahmad. Abdulrhmi. Ahmed. Sahar. Ebrauf. Mubal. Abdulrahman. Abullah. Faisal. Abdulrahma."
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,A2,mixed,hobbies,1,"I am going to make a big difference between my town and its. It is beautiful city with a spectacular variety of activities, it is very exciting for all different reasons including tourism and fun. In addition to the many other things like cooking, playing tennis and dancing, but we can also go shopping on the beach. We are looking forward to hearing from you later. Thanks for reading soon. Yours sincerely. Hamed Nasser. Thank you. Wahtab Al Ghada. Thank you alot. Hamoud. Hassan. Sreejith. Mashdhil. I hope you all coming! Mohammad. Ahmad. Ahmed. Abdullah. Khaled. Fahad. Faisal. Dammam. Rashed. Mohammed. Abdullah."" Faisal"" Regards, Faisal Hassan. I am going for a tour of Saudi Arabia, it's exciting enough to be involved with the international community. I have a great experience here at this time as well as traveling through Dubai or another country. I am staying with our family. I hope they are amazing. Your friend Abdulkader"" Faisal."" Faisals. E-mail. I hope that you will come. See you soon, Bye"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,B2,mixed,holiday,1,"Hi Anna! My name is Bashayer. I'm from Syria. I live in Damascus. I am a student at the University of English. In addition to my studies I like reading and singing. Bye! Bashayer! Bashari. Bashayer... A-Saudi Arabia. I am so happy for visiting Egypt. I have a nice vacation with me because I hope to see you soon. Best wishes Bashayer. Bashayer.. Bashayer""!! Bashayer.""!! Bashayama""!!! Bashayer!""!! Bashader""!! BBbid. Nice to meet you too! Bashuler""!! Bthak""!! Bisha""!! Bkhalid""!! Bassam""!! Bshitr. Bashan""!! Bzalem""!! Bjob""!! Bread""!! Bsala""!! Bma'ah ""!! Bada""!! Badis""!! Bmar""!! Btihad. Bharbi""!! Bmin""!! Bharbi. Bmary""!! Bnan""!! Bdiman""!! Bssam""!. Bsmokey""!! Bragla""!! Bgauwait Bkara"""
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,C2,mixed,family,1,"""Hi, I'm looking forward to hearing from you. Let me tell you what I've found in your article. I'd like to answer my question. The first point of view is that you are not very good and your children's name is Ali Al-Khalid. This essay will give you an idea about how people live and want to be more healthy than them. It was just recently published on a magazine online edition of The New York Times. Actually, I would love to hear about myself when we see things happen with our kids. I hope this essay will make you feel better. Best wishes to you Ahmed Youssef"" Huda"" Abdulaziz."" Abdulazil"" is writing in the newspaper. Thanks again for your response. Ahmad Youssef. Your friend Mohammed."" Thank you for your time. Youssef."" Abdulajiz"" doesn't mean that there are so many different types of families living together. In fact, there are some families where there are no single family or similar but they're as big family. I think the main reason for giving you such questions is that they are not good at all. But there are different kinds of families who depend on their parents' names. If you find any thing, please call us soon! Hassan"""
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,A3,l2t,hobbies,1,"I like swimming, sailing, dancing, playing tennis or football.I don't like soccer but i hate it because its interesting.I can play basketball or watch movies on TV.I like listening to music, dancing and listening to music. I like watching sports in my country. I can dance and sing. I love playing the guitar and music. I dont like playing the violin and I also like playing the drums. It's dangerous, so we could use it by some things.  Best regards Abdulrhman, Mohammad. Ahmad Youssef. Ashrak Al-Khalid. Favorite Seasonal games in the city. I cant go shopping, eat out with friends and always have fun. I don't like running, cooking and cooking. I can speak English and French. I can cook and swim but i can't drive. See you soon. Khaled. Favorites Seasonal Music: Animal Animal: Animal Animal Time: Animal Day: Animal Day Number: 1 Starter : Animal Day Number : 8 Animal Day Number of Animals Number of Animal Day Numbering Number of Animals Numbers: Animal Number of Animals Type: Animal Time: Fish Day Number: Animal Day Color: Animal Day Date: Animal Day Size: 3 Animal Time: Animals Number: Animals Number Number of Animals Time: Animal Lives: Animals Number of Animals Location: Animal Day Time: Animal Number: Animal Time Number of Animals Temperature: Animal Time : Animal Time: Eggs Number"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,B3,l2t,holiday,1,"""Hi! This is my birthday. I'm a little bit excited because of the weather and its very hot. In winter it's cold but not too wet. I've dinner at one o'clock. On Sunday I like eating cake, eat cake and watch movie. It'll be great to visit all times."""" I hope you can come!"" Regards,"" Regards"" Thank you for giving me some details. Best wishes, Jody"" I wish you enjoyed with us. Bye! Abdul Aziz"" Your friend Alajmi"" I'm so happy to bring your party. See you soon, Hassan"" But, I'm sorry I can't come. My best regards, Rashed"" I'd like you to know that I was really tired when we got back from home. Thanks for your time. Goodbye Abdul Azil"" I'm fine thank you. Ahmed Youssef"""" Your friend Mohammed"" Khaled"" I hope she will enjoy with you. I wish you love this party. I would like you very much because it's exciting enough. Mohammad"" bye Abdulaziz"" Hamed"" Youssef)"" Thank you Ahmed Yousseff"""" Ossama"""
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,C3,l2t,family,1,"I am from Saudi Arabia. I live in Jeddah. There are four people in my family : my mother,my father,my sister and i. My mother is very tall and slim. She has long brown hair and big green eyes.My brother is very thin and fairly thin. He is not happy and hard-working.I'm very smart and I hope to see it soon. See you soon! Abeer. Mina Kiriakos. Your friend. Abdulaziz. Thanks, Abdulazil. Mohammed Youssef. Khalid Hassan. Thank you. Abdulajjah. Abdulzallah. Abdullah Hassan. I hope to be here. Best wishes, Mohammad. Abdul Aziz. Sahar Khaled. I love TV and computer because it's exciting and easy to read. Abdulamad. Ahmad. Khader. Ahmed. Abdulkhaled. Abdulakhmah. Abdelrahman. Ahmed. Sahar. Abduldhamma. Abdulrhman. Abdulshadi. AbdulRahman. Abdullah. Abdulghad. Abdulhaddin. Ahmed. Mohamed. Abdulakal. Abdulrahman. Abdelijan. Abdulrak. Abdulkobah. Abdurrak. Ahmad. Abdulhadrak. I wish you can come to contact me for"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,A1,basic,hobbies,2,"The weather is very hot. I don't like going surfing because it's not exciting enough to go out alone but I like doing yoga. In my country there are many things near me, but my culture is usually cool and fun. Sometimes, I go to shopping with my family and I play soccer in the park. It was great place. It's a beautiful city. I hate eating too much food and drink lots of water. I want to buy some foods and drinks that will be expensive. Regards, Abdulaziz. Ahmed Youssef. Abdulazzo. Thanks for your letter. Thank you for sending email. Best wishes, Fahad. Abdulrahman. Khalid Youssef! Abeer. Mina Kiriakos. Faisal. Alya Youssef. Ebrahim. Mohammad Youssef."" Thank you for your time. Ahmad Youssef"" Faisal"" I'm from Sudan and I'm an accountant in Saudi Arabia. I hope you enjoy the trip and visit my friends. Abdulakhit"" I'll send this message. Yousef."" Aziz"" I'll make sure you know what happened. I wish you come."
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,B1,basic,holiday,2,"""Hi How are you? My name is Sara. I am a student at university. My favorite country in the UAE it's not so beautiful but its very hot and sunny. In spring, my friends like to go to park with my family. It's exciting, we will enjoy in our restaurant. We're here at our house."""" Thank you for giving me some suggestions regarding my trip. You can come! Sara."" I hope this great holiday you'll be well. Good luck. Nour"" Bye Sara"" Your friend, Sara"" Alya"" Diana"" Hichame."" I look forward to hearing from you soon, See you soon. Thanks, Sara!"" Hichame"" Hichames"" E-mail"" E-mails"" I hope you all again. Best regards"" Ahmed Youssef"","" Khalid"" Ossama"" MY"" Riyadh"" TALK"" BIRTHDAY"" AND KSA"" WATCH"" ENGLISH"" TODAY"" WRW"" FIVE"" BA"" JAMESDAY"" YOU"" GOOD"" JERSE"" THISC"" WHENN'S WRITE"" PULP"" DO"" WASHINGTON"" HEAD"" ALJOR"" WRICE"" BEK"" ME"" WRI"" SMALL"" DA"" HOW"" WO"" WR"" LINK"" HE"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,C1,basic,family,2,"I'm so sorry because I think this idea doesn't mean that you are really very thin and not as tall as me but also it's good to live with your family in order to meet all of the family members. So, we can argue that they're too hard-working and easy-going. I believe that these people do not care what they want to do and I think they like going out on a street and getting them back home. I love this idea because I don't like the police authorities. Also, my best wishes, Sahar Youssef. Rashid. Hatemah. I would like to see you soon. Best regards Abdulrhman. Alya. Sahar Yoteef. Nice to hear from you. Your friend. Sahar. Goodbye! Sahar Yosef. Sahar"" :) Thank you. Amal. I hope you enjoy your time. Best regards Ahmad. Ahmed. Bassam. Aishad. Khaled. Aishab. Mohammed. Rashedoud. Hala"" etc. Komla. Abdullah. Sahar."" Dilpa. I am happy if you like this idea, please tell him later. I will be proud if you liked it. I'll encourage you to read anything new and you'll find more news. Best regards. Sahar"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,A2,mixed,hobbies,2,"I am a city leader. It is located on my street, and it's not very difficult but there are many restaurants. There are lots of different types of events, such as sailing, volleyball,traveling,and. In addition to that I like going to swimming with friends or even watching movies. I don't have any reason why we should start thinking about the importance of sports programs in our country. We need to make sure that we can play the games as well. The main reason is that this sport will encourage us to enjoy our culture by using them for entertainment which allow us to choose where they can play at their own time. Finally we need to be more creative when we can go to visit one another site and consider taking some courses in order to give you an opportunity to see what kind of music might mean if you want to learn new things, it will help me to learn new ideas and find new ways to use your life. My friend Ahmed Youssef Alghadhi has a good experience in the field of learning from the school so we can try to get fun. I believe that this sport may bring great benefits for my family and its families. Best wishes Abdulaziz. Youssef aljohr"
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,B2,mixed,holiday,2,"""Hi! I'm a housewife. I'll stay in the park with my family and I'm very happy.""I'm so sorry that I'll be better at staying in my home. If you want to visit me or go to the park and please call us immediately. Thanks for your help. Hassan"" :)"" Thank you very much."""""" I hope you can come. Bye!"" Your brother, Alitr.""""."" Khalid""!!"" I'm very angry because I'm very tired, too. See you soon! Ahmad.""!! Yours sincerely, Abeer"".""."", I'm very glad that I have a nice time in my work. You are here to meet you later. Abdul"","" I'm so sad and friendly and beautiful. Good luck. Ahmed""!"" I hope that you are well. Bye Abdul"""".."", I hope to see you again. Best wishes,"" Sahar""!!"", Im going to be great pleasure to read the book in this museum. See you later."" Ariba"",, Hi Ahmad""."" and Amail""""!!""."" E-mail"". E-mail."""
lilygoulder/ar-en-beginner-learner-english,Arabic,beginner,C2,mixed,family,2,"There are three people in my family. I'm going to live with them and I want to tell me why they're so happy. The first one is that my father who lives with him has a long time to be married and he always takes care of his mother. He has a hard time for me to change her self to become very kindly and she doesn't like it because she's really difficult too.  My brother is very thin and smart but he looks sad when he does not go out alone at night. He's funny and scary but he will make mistakes. My sister doesn't like her job but she's not good enough. She likes her job and she always makes changes by herself. The third reason why do not let ladies help them. They love her. They think the same thing as the girlfriend or her husband. The fourth reason why don't let ladies help someone else. That's how we can stay together on the street. See you soon! Bashayer. See you later. Goodbye! Bashay. See you again. Bashay."" Ashuah"" Yourself. Bassam. Mina. Faisal"" Diana. Emaa. Faris."
